"teamNum","matchNum","alliance","driveStation","startLocation","preload","mobility","autoPickups","autoFailedPickups","autoCones","autoCubes","autoBalance","communityPickups","neutralPickups","singlePickups","doublePickups","supercharged","teleopCones","teleopCubes","shuttle","teleopBalance","buddyClimb","driver","scoutName","comments","scoredT","scoredA","scoredCones","scoredCubes","totalPickups","scoredLowT","scoredMidT","scoredHighT","scoredLowA","scoredMidA","scoredHighA","scoredTCones","scoredTCubes","scoredACones","scoredACubes","pointsT","pointsA","pointsE","ct","pointsTotal"
1745,3,"b","b3",3,"cone",TRUE,"NA","NA","18","NA","na",0,1,7,0,0,"1,10,3,12,13","11,19,20,21",0,"fail",FALSE,4,"kari","Messed 3 piece auton, didn't pick up remaining two pieces. Quick cycle time. Started on free side but starter to fill out grid on wire side, can probably do both. Goes to chute only. Picks up cubes at the end to fill out middle nodes and bottom grid. 
",9,1,6,4,10,3,4,2,0,1,0,5,4,1,0,28,7,0,15,35
9076,4,"r","r1",3,"cone",TRUE,"NA","NA","19","NA","na",0,0,0,0,0,"NA","NA",0,"park",FALSE,4,"cobleigh","played strong defense, had 0 penalties, 
",0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,6,0,0,6
587,4,"r","r2",1,"cone",TRUE,"4","4","9","8","na",0,2,2,3,0,"7,6,27","25,26,24,23",0,"engage",FALSE,3,"Miele","Driver had trouble lining up and grabbing cone from shelf but is very fast with scoring cones
",7,2,4,5,9,5,0,2,0,0,2,3,4,1,1,20,15,10,19.286,45
9244,4,"b","b2",2,"cube",FALSE,"NA","NA","NA","14","na",0,0,0,1,0,"15","NA",0,"na",FALSE,1,"Kim","Their robot is very clunky and unbalanced. They were bullied by more aggressive robots. Stopped operating with over a minute left. Can move over charge station. Very slow pickup and placement. But they're from Belise!!
",1,1,1,1,2,0,1,0,0,1,0,1,0,0,1,3,4,0,135,7
25,4,"r","r1",2,"cube",TRUE,"NA","NA","NA","5","engage",0,0,0,8,0,"4,3,1,20,23","2,21",0,"engage",FALSE,3,"novinski","had a very fast double engage, only goes to shelf, a little trouble going over the charge station, arm has to stay out after intaking which could cause penalties in the future
",7,1,5,3,8,3,0,4,0,0,1,5,2,0,1,26,21,10,19.286,57
987,4,"b","b3",3,"cone",TRUE,"NA","NA","18","NA","dock",0,1,6,0,0,"3,10,12,13,16","8,11",0,"dock",FALSE,4,"kari","Failed 2 piece auton, started on free side but filled out grid on wire side. Went only to chute for cones, picked up cubes from ground in loading zone near end of the game. 
",7,1,6,2,8,0,5,2,0,1,0,5,2,1,0,25,17,8,19.286,50
1218,4,"b","b1",1,"cone",TRUE,"4","4","1","NA","na",0,1,0,3,0,"7,9","2,26,25,17",0,"dock",FALSE,3,"santiago ","Good driving. the arm is slow though
",6,1,3,4,7,2,1,3,0,0,1,2,4,1,0,22,9,8,22.5,39
384,5,"r","r1",1,"cube",TRUE,"4","4","NA","8","na",0,1,0,7,0,"18,16,15,13,12,10,24","NA",0,"engage",FALSE,4,"cobleigh","drove well, intake is not amazing, really likes the double substation
",7,1,7,1,8,1,6,0,0,0,1,7,0,0,1,20,9,10,19.286,39
2656,5,"b","b1",1,NA,TRUE,"NA","NA","NA","NA","na",0,0,0,0,0,"NA","NA",0,"engage",FALSE,2,"santiago","Pure defensive bot. Runs through the middle and tries to slow down the other team. Did not move for the first 10 seconds of teleop.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,13
3655,8,"r","r2",3,"cone",TRUE,"1","1","3","NA","na",0,0,4,0,0,"1,4,7,9,6,22","2",0,"engage",FALSE,4,"MIELE","fast, stable robot. Only got cones from shute and is very good at cycling it. Slammed a teamate. Didn't score cube in auton because intake didn't outake the cube
",7,1,7,1,8,1,0,6,0,0,1,6,1,1,0,32,9,10,19.286,51
2230,5,"b","b2",3,"cube",TRUE,"NA","NA","7","8","na",0,1,4,0,0,"9,6,22","NA",0,"engage",FALSE,3,"Kim","Only places on top row with cones. Failed repeatedly to do so. Their ground pickup is slow.
",3,2,4,1,5,1,0,2,0,0,2,3,0,1,1,12,15,10,45,37
1923,5,"r","r1",1,"cube",TRUE,"1,2,3","1,2,3","NA","NA","engage",0,0,7,0,0,"NA","5,2,19,20,21,22,23,24,25,27,17",0,"engage",FALSE,4,"kari","Very quick robot, cube shooter, in auton shoots cubes into community. During teleop, fills out bottom grid with cubes in community and from chute. Sometimes out of control and can cause collisions.
",11,0,0,11,11,8,1,2,0,0,0,0,11,0,0,29,15,10,12.273,54
6352,5,"r","r3",2,"cube",FALSE,"NA","NA","NA","5","engage",0,0,0,4,0,"NA","11,17,14",0,"park",FALSE,3,"novinski","only picks up from shelf, takes a second to intake, a bit large and slow, avoided the charge station during the match, didn't go for a stupid triple balance and instead just parked
",3,1,0,4,4,0,3,0,0,0,1,0,3,0,1,9,18,0,45,27
1683,6,"r","r1",1,"cone",TRUE,"4","4","9","8","na",0,0,0,5,0,"7,6,16,18,15","NA",0,"engage",FALSE,4,"cobleigh","loves double substation, very quick robot and intake
",5,2,6,1,7,0,3,2,0,0,2,5,0,1,1,19,15,10,27,44
4175,6,"b","b2",2,NA,FALSE,"NA","NA","NA","NA","engage",0,0,0,0,0,"NA","NA",0,"engage",FALSE,3,"Kim","Only played defense. Attempted no pickups or placements.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,22
9007,6,"r","r2",3,"cone",TRUE,"NA","NA","19","NA","na",0,3,2,0,0,"NA","20,21,23,24,17",0,"engage",FALSE,2,"miele","got pushed so easily by 5089, only intook cubes from ground and scored in hybrid. had to get a running start onto charge station and was tippy on it
",5,1,1,5,6,4,1,0,1,0,0,0,5,1,0,11,6,10,27,27
9022,5,"b","b1",3,"cube",TRUE,"NA","NA","NA","8","na",0,0,0,5,0,"9,7,6","5",0,"na",FALSE,2,"santiago","The entire robot has to rotate before actually extending the arm then it can place a cube. Fast robot but the turns make the entire robot wobble unsafely.
",4,1,3,2,5,0,0,4,0,0,1,3,1,0,1,20,9,0,33.75,29
5089,5,"b","b3",1,"cube",TRUE,"NA","NA","NA","11","na",0,4,2,0,0,"NA","22,23,21,20,19",0,"na",FALSE,3,"kari","Only goes for cubes, usually goes for bottom grid. Usually picks from neutral zone but goes to chute near end for cubes as well.
",5,1,0,6,6,5,0,0,0,1,0,0,5,0,1,10,7,0,27,17
4039,6,"r","r3",2,"cube",FALSE,"NA","NA","NA","NA","engage",0,0,6,0,0,"1,3,4,13","2,14",0,"park",FALSE,3,"novinski","fast and consistent across the board, schute and floor pickup, avoided the charge station during the match
",6,0,4,2,6,0,2,4,0,0,0,4,2,0,0,26,12,0,22.5,38
9008,7,"r","r1",1,"cube",FALSE,"NA","NA","NA","8","na",0,1,0,2,0,"9,7,18","NA",0,"fail",FALSE,2,"cobleigh","very slow, intake and bot in general.
",3,1,3,1,4,0,1,2,0,0,1,3,0,0,1,13,6,0,45,19
3683,7,"r","r2",3,"cone",TRUE,"2,1","2,1","10","19,11","na",0,1,7,0,0,"6,4,15,13,16","5,14,17",0,"fail",FALSE,5,"Miele","Driver is descisive and fast, failed on scoring two cones, but kept the piece in intake then scored them. Didn't drive over charge station for scoring. Works quickly with both shute and ground intake
",8,3,6,5,11,0,5,3,1,2,0,5,3,1,2,30,14,0,16.875,44
597,7,"b","b3",3,"cube",TRUE,"NA","NA","NA","8","na",0,3,2,0,0,"NA","21,19,20,11,22",0,"engage",FALSE,3,"kari","Only went for cubes. Picked up from neutral zone and chute. Climbed with 25s left. Pretty large robot.
",5,1,0,6,6,4,1,0,0,0,1,0,5,0,1,11,9,10,27,30
3937,7,"b","b2",1,"cone",TRUE,"4","4","1","2","na",0,0,7,0,0,"6,4,7,9,3,18,16","17",0,"engage",FALSE,4,"Kim","Predominantly places cones but can pickup cubes from the ground. Favors ground substation. Good movement throughout the field.
",8,2,8,2,10,0,3,5,0,0,2,7,1,1,1,34,15,10,16.875,59
1983,7,"b","b1",2,"cube",TRUE,"NA","NA","NA","5","engage",1,0,1,3,0,"25,24,23,22,13","26",0,"engage",FALSE,3,"santiago","Really fast robot scored mostly on the bottom row but really efficient except there were quite a few traffic jams with their own teammates. started to engage with charging station early
",6,1,5,2,7,5,1,0,0,0,1,5,1,0,1,13,21,10,22.5,44
4561,7,"r","r3",2,"cube",FALSE,"NA","NA","NA","NA","na",0,0,6,0,0,"6,1,15,20,12,23","NA",0,"park",FALSE,3,"novinski","terrible job at a triple balance, fast intake, but they place in suboptimal places
",6,0,6,0,6,2,2,2,0,0,0,6,0,0,0,20,0,0,22.5,20
3679,8,"r","r2",2,"cube",FALSE,"NA","NA","NA","5","engage",0,2,0,1,0,"NA","8,2,23",0,"na",FALSE,2,"miele","Top cube shooter bot... transfers cube from floor to top and dropped a cube when trying to score. Tipped over half way throught the match just driving by itself. Went over charge station once to scor
",3,1,0,4,4,1,0,2,0,0,1,0,3,0,1,12,18,0,45,30
2240,8,"r","r1",3,"cone",TRUE,"NA","NA","1","NA","na",0,0,0,4,0,"4,9,7,25","NA",0,"engage",FALSE,3,"cobleigh","likes double substation, not very fast
",4,1,5,0,5,1,0,3,0,0,1,4,0,1,0,17,9,10,33.75,36
2974,8,"b","b2",3,"cone",TRUE,"1,2","1,2","9","8,27","na",0,0,0,7,0,"3,18,16","NA",0,"na",FALSE,3,"Kim","Favors cones but failed to place repeatedly. Only used shelf substation.
",3,3,4,2,6,0,2,1,1,0,2,3,0,1,2,11,18,0,45,29
3604,8,"b","b1",2,"cone",TRUE,"NA","NA","4","NA","engage",0,0,3,0,1,"6,23,19,20","5,8,26,24,22,17,21,2",0,"engage",FALSE,5,"santiago","Had teammates that shot cubes and cones at the team and then the robot aligned them all into the bottom row. Once the bottom row was filled it used a cube shooter to hit the top rows. Really quick cylces
",12,1,5,8,13,7,1,4,0,0,1,4,8,1,0,40,21,10,11.25,71
135,8,"r","r3",1,"cube",TRUE,"NA","NA","NA","8","na",0,1,7,0,0,"6,1","23,20,19,11",0,"engage",FALSE,3,"novinski","balance could've been a lot faster, dropped a piece, had some trouble intaking at the start, goes over the charge station no problem
",6,1,2,5,7,3,1,2,0,0,1,2,4,0,1,19,9,10,22.5,38
7018,9,"b","b2",1,"cube",TRUE,"NA","NA","NA","2","na",0,0,3,0,0,"NA","17,11",0,"fail",FALSE,2,"Kim","Can only collect from ground substation and can only pickup cubes. Very passive on the field.
",2,1,0,3,3,0,2,0,0,0,1,0,2,0,1,6,9,0,67.5,15
6865,9,"r","r1",1,"cube",FALSE,"NA","NA","NA","8","na",0,0,0,0,0,"NA","NA",0,"dock",FALSE,1,"cobleigh","very poor driving and defense, robot did appear to not be working correctly
",0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,6,8,0,14
2403,9,"r","r2",3,"cube",TRUE,"NA","NA","NA","2","na",0,4,2,0,0,"NA","19,20,21,22,24,25,26,11",0,"fail",FALSE,3,"Miele","Cube bot, picks up from floor and fills out hybrid first. Driver is unafraid to slam into things
",8,1,0,9,9,7,1,0,0,0,1,0,8,0,1,17,9,0,16.875,26
6090,9,"b","b1",3,"cone",FALSE,"NA","NA","9","NA","na",2,0,0,7,0,"7,6,4,18,16,12","8,14",0,"dock",FALSE,4,"santiago","really quick cycles avoided traffic with teammates by going through charge station. really smart and had to turn to place the cones and cubes in place but can rotate while moving. 
",8,1,7,2,9,0,4,4,0,0,1,6,2,1,0,32,6,8,16.875,46
4779,9,"b","b3",2,"cube",TRUE,"NA","NA","NA","5","engage",0,1,0,3,0,"1,3,21,10","NA",0,"dock",FALSE,3,"kari","Can go for cubes and cones upright on the floor. Goes to shelf for cones but struggled, dropped 2 in a row. Spent a lot of time in loading zone.
",4,1,4,1,5,1,1,2,0,0,1,4,0,0,1,15,21,8,33.75,44
4693,9,"r","r3",2,"cube",FALSE,"NA","NA","NA","5","engage",0,0,0,5,0,"7,6,4,3","NA",0,"fail",FALSE,3,"novinski","Has no fear of the charge station! But probably should have some (almost tipped over and dropped a piece), really bad balance(not entirely their fault), besides that pretty good
",4,1,4,1,5,0,0,4,0,0,1,4,0,0,1,20,18,0,33.75,38
5419,10,"b","b2",2,"cone",FALSE,"NA","NA","NA","NA","na",1,1,4,0,0,"NA","24,14",4,"engage",FALSE,3,"Kim","Main strategy was to collect cubes and ferry to community. Their Autom failed.
",2,0,0,2,2,1,1,0,0,0,0,0,2,0,0,5,0,10,67.5,15
6823,10,"r","r1",1,"cone",FALSE,"NA","NA","9","NA","na",0,0,0,4,0,"18,16,15","8",0,"engage",FALSE,4,"cobleigh","very quick speed and likes to intake on double substation. evades defense well.
",4,1,4,1,5,0,3,1,0,0,1,3,1,1,0,14,6,10,33.75,30
694,10,"r","r2",3,"cone",TRUE,"NA","NA","19","NA","na",0,7,1,0,0,"1,3,4,12,10,13","2,11",0,"fail",FALSE,3,"Miele","Was being fed by pieces in neutral zone to score. Missed a couple times when trying to place cone but kept piece in intake and tried again. Was going up for charge station and tipped over when climbing
",8,1,7,2,9,0,4,4,1,0,0,6,2,1,0,32,6,0,16.875,38
604,10,"b","b1",3,"cone",TRUE,"2,3","2,3","9","NA","engage",1,0,0,7,0,"25,26,27,22,7","24,8,17",0,"engage",FALSE,2,"santiago","Slow elevator type mechanism to fill out the top row. Very wobbly. they picked up two pieces in auton then in teleop placed them in the bottom rows
",8,1,6,3,9,5,1,2,0,0,1,5,3,1,0,23,21,10,16.875,54
2489,10,"b","b3",1,"cube",TRUE,"NA","NA","NA","19","na",0,1,4,0,0,"NA","21,20",0,"engage",FALSE,3,"kari","Pancake bot with cube intake. Sort of like a cube shooter, is not very accurate. Picked up only from ground.
",2,1,0,3,3,2,0,0,1,0,0,0,2,0,1,4,6,10,67.5,20
6420,11,"b","b2",3,"cone",TRUE,"NA","NA","27","NA","na",0,0,0,4,0,"6,4,15,13","NA",0,"engage",FALSE,4,"harold","shelf cone cycler. had a good idea of the most advantageous places for cones to try to score links. dropped one cone in auton that was meant for high but it landed in hybrid. tried to pick up cube at shelf in the end but failed and drove to the charge station. managed to pull off a triple climb pretty well.
",4,1,5,0,5,0,2,2,1,0,0,4,0,1,0,16,6,10,33.75,32
469,11,"r","r3",2,"cone",TRUE,"NA","NA","7","NA","na",0,0,0,6,0,"3,10,12,13,15","2,11",0,"engage",FALSE,4,"minear","Never went over the charge station during cycles. Occasionally struggled to grab a piece from the double substation. When it did grab a piece, it held it high and it never unintentionally dropped a piece.
",7,1,6,2,8,0,5,2,0,0,1,5,2,1,0,25,9,10,19.286,44
316,11,"r","r2",1,"cone",TRUE,"NA","NA","1","NA","na",1,4,3,0,0,"6,7,9","5,8,23,21,22",0,"engage",FALSE,4,"Pozo","Went to pick up piece in auton but missed. Besides that they have an interesting intake that allowsd them to easily pickup from neutral zone and their elevator lets them score high consistently. Theyare good in neutral zone but can also pick up from the ground near the double station. 
",8,1,4,5,9,3,0,5,0,0,1,3,5,1,0,31,9,10,16.875,50
9125,11,"b","b1",1,"cube",TRUE,"NA","NA","NA","5","fail",0,0,0,4,0,"9,7","8,17",0,"engage",FALSE,2,"Duhe","- very slow/inefficient driving at start, sped up as teleop progressed, still mediocre though- good intake speed- was blocked from engaging by charge station side at auton
",4,1,2,3,5,0,1,3,0,0,1,2,2,0,1,18,9,10,33.75,37
9075,11,"r","r1",1,"cube",TRUE,"NA","NA","NA","27","na",0,2,0,0,0,"NA","26,25",0,"na",FALSE,4,"gabri","just stopped mid way in their match
",2,1,0,3,3,2,0,0,1,0,0,0,2,0,1,4,6,0,67.5,10
3374,11,"b","b3",1,"cone",FALSE,"NA","NA","1","NA","na",0,0,0,4,0,"3,10","2,11",0,"engage",FALSE,3,"Ha","Took a big hit and was defended. No penalties. decided to go score in their lane rather than immediately completing a link. 
",4,1,3,2,5,0,2,2,0,0,1,2,2,1,0,16,6,10,33.75,32
1599,12,"r","r2",2,"cube",FALSE,"NA","NA","NA","5","engage",0,0,4,0,0,"4,6,16,23","NA",0,"engage",FALSE,3,"Pozo","Drew a penalty for having their arm out and hitting a bot. Really focused on getting peieces from chute and got in alliance members' way to get there. Could score high fairly well but when they tried to score mid, they just dropped it and then pushed it in
",4,1,4,1,5,1,1,2,0,0,1,4,0,0,1,15,18,10,33.75,43
2638,12,"r","r3",1,"cube",TRUE,"NA","NA","NA","8","na",0,0,0,4,0,"10,12,19,22","NA",0,"engage",FALSE,3,"minear","Had an elevator system that made it top heavy/tipsy when the elevator was up. Didn't travel over the charge station. 
",4,1,4,1,5,2,2,0,0,0,1,4,0,0,1,10,9,10,33.75,29
910,12,"b","b1",2,"cone",TRUE,"NA","NA","4","NA","fail",0,0,0,5,1,"6,18,16","17",0,"engage",FALSE,5,"Duhe","- tipped on side of charge station in auton, saved during teleop (took some time though)- after that incident, very fast intake/driving/placing- seemed like""supercharge"" was intentional (cone stacking, aimed), but was on high, 80 seconds left, not close grid, so i have no idea why they would do that
",4,1,4,1,5,0,3,1,0,0,1,3,1,1,0,17,9,10,33.75,36
176,12,"r","r1",1,"cone",FALSE,"1","1","1","2","na",0,2,0,6,0,"9,7,18,15,13","17,11,14",0,"engage",FALSE,5,"harold","very fast robot. has a very unique swivel arm that they use to the upmost potential. tried to pull off a 3 piece auton but dropped the last game piece. did a very good job climbing as well. picked up mainly from the shelf. 
",8,2,6,4,10,0,6,2,0,0,2,5,3,1,1,28,12,10,16.875,50
360,12,"b","b2",3,"cone",TRUE,"NA","NA","9","NA","na",0,1,5,0,0,"4,15,13","5,14",0,"engage",FALSE,4,"gabri","helped 910 successfully get off charge station at start because they were stuck, good teamwork, a bit slow in general though, not bad. dropped a cone
",5,1,4,2,6,0,3,2,0,0,1,3,2,1,0,19,9,10,27,38
1241,12,"b","b3",1,"cone",TRUE,"NA","NA","1","NA","na",0,3,5,0,0,"3,10,12,21","8,2,11,19",0,"na",FALSE,3,"Ha","not defended much, had a piece snatched from them despite the forks. focused on their ""lane"". 
",8,1,5,4,9,2,3,3,0,0,1,4,4,1,0,28,9,0,16.875,37
1923,13,"r","r3",2,NA,FALSE,"NA","NA","NA","NA","na",0,0,0,0,0,"NA","NA",0,"na",FALSE,3,"minear","no show
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620,13,"b","b2",2,"cone",TRUE,"NA","NA","4","NA","engage",0,1,2,3,0,"6,13,15","5,14,21",0,"engage",FALSE,4,"gabri","efficient scoring, evaded defense quite well
",6,1,4,3,7,1,3,2,0,0,1,3,3,1,0,21,21,10,22.5,52
8576,13,"r","r1",1,"cone",TRUE,"NA","NA","NA","8","na",0,0,0,0,0,"NA","NA",0,"engage",FALSE,2,"harold","tried to play some defense but racked up some fouls. did not play very good defense. made no effort whatsoever at offense though it has the facilities to do so. 
",0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,9,10,0,19
1506,13,"r","r2",3,"cube",FALSE,"NA","NA","1","NA","na",0,0,7,0,0,"3,7,6,9,12","NA",0,"engage",FALSE,4,"Pozo","Really quick to move back and forth from chute and scoring position but was a bit antsy when they were intaking. Trying to leave before fully taking in pieces. Scored by going around charge station and auton missed pieces with pauses in the middle 
",5,1,6,0,6,0,1,4,0,0,1,5,0,1,0,23,6,10,27,39
5913,13,"b","b1",3,"cone",TRUE,"NA","NA","18","NA","na",0,4,0,4,0,"9,7,16,22","8,17,23,27",0,"park",FALSE,5,"Duhe","- consistent/fast driving/intake, good and organized placing (made 2 links independently)
",8,1,5,4,9,3,2,3,0,1,0,4,4,1,0,27,7,0,16.875,34
6672,13,"b","b3",1,"cone",TRUE,"1","1","10","NA","na",1,0,6,0,0,"3,1,12","2,11,20,19",0,"engage",FALSE,4,"Ha","got defended heavily against. 
",7,1,4,4,8,2,2,3,0,1,0,3,4,1,0,25,7,10,19.286,42
1218,14,"b","b2",1,"cone",TRUE,"1","1","1","19","na",0,0,4,1,0,"6,4","2,22,23,24",0,"engage",FALSE,4,"gabri","did good manuevering, double intake, 
",6,2,3,5,8,3,0,3,1,0,1,2,4,1,1,21,12,10,22.5,43
1745,14,"b","b1",3,"cone",TRUE,"NA","NA","18","NA","na",0,3,7,0,0,"16,23","8,17,14,26,27,25",0,"engage",FALSE,4,"Duhe","- double engage- good speed, but did miss some pieces and flung one in the air
",8,1,3,6,9,4,3,1,0,1,0,2,6,1,0,22,7,10,16.875,39
5988,14,"r","r3",1,"cube",TRUE,"NA","NA","NA","27","na",0,1,2,0,0,"NA","26,25,24",0,"na",FALSE,2,"minear","Didn't use any machinery. Pushed cubes (but not cones) around the whole time. Did travel over the charge station once. Later in the match, it just stayed in the community and didn't do much. (last 40ish seconds)
",3,1,0,4,4,3,0,0,1,0,0,0,3,0,1,6,6,0,45,12
3668,14,"r","r1",2,"cone",FALSE,"2","2","4","NA","engage",0,1,6,0,0,"6,7,9,18","5,8,17",0,"fail",FALSE,3,"harold","scored pretty consistently. a cube got in the way at the chute and they spent quite a few seconds getting it out of the way. seemed to be a bit aggressive against own team mates in loading zone in one instance. tried desperately to do a last second climb but failed.
",7,1,5,3,8,0,2,5,0,0,1,4,3,1,0,31,18,0,19.286,49
5895,14,"b","b3",2,"cone",FALSE,"2","2","4","NA","engage",0,0,8,0,0,"3,15,9,7,12,10","5",0,"na",FALSE,3,"Ha","decent mobility, but kind of tippy. not really defended against. were flexible and did not stay in their lane.
",7,1,7,1,8,0,3,4,0,0,1,6,1,1,0,29,18,0,19.286,47
4175,14,"r","r2",3,"cone",FALSE,"NA","NA","NA","NA","na",0,0,2,0,0,"19","23,21,22",0,"park",FALSE,2,"Pozo","Struggled intaking cubes and needed a teammate to push them in for them if they could not get it from slamming into the wall, Pretty slow and only scored low. Intake is too deep into robot's frame for it to be consistent w/ the cubes and they only tried cones in preload
",4,0,1,3,4,4,0,0,0,0,0,1,3,0,0,8,0,0,33.75,8
